Order ID;Order Date;Ship Date;Ship Code;Customer ID;Postal Code;Product ID;Sales;Quantity;Discount;Profit
;14-71-2017;18-99-2017;SC_03;;92683;OFF-AR-10004042;71,92;4;0;20,8568
CA-2017-121048;14-7-2017;18-7-2017;SC_03;TC-21295;92683;FUR-FU-10002960;18,84;3;0;7,9128
CA-2017-121048;14-7-2017;18-7-2017;SC_03;TC-21295;92683;TEC-AC-10000991;140,97;3;0;19,7358
CA-2017-121048;14-7-2017;18-7-2017;SC_03;TC-21295;92683;TEC-PH-10004977;470,376;3;0,2;52,9173
US-2017-120147;30-3-2017;30-3-2017;SC_01;TB-21400;90036;OFF-AR-10000817;6,08;2;0;2,0672
US-2017-120147;30-3-2017;30-3-2017;SC_01;TB-21400;90036;TEC-PH-10002447;164,792;1;0,2;18,5391
CA-2016-158043;31-1-2016;4-2-2016;SC_04;JK-15325;8401;OFF-EN-10003134;23,36;2;0;11,68
US-2017-106579;8-6-2017;13-6-2017;SC_03;BW-11200;60076;OFF-BI-10000309;12,176;4;0,8;-18,8728
CA-2014-115889;2-11-2014;6-11-2014;SC_03;SH-20395;94122;TEC-PH-10001615;46,384;2;0,2;5,2182
CA-2014-115889;2-11-;6-11-214;SC_09;SH-2039;94122;TEC-PH-10001615;46,384;2;0,2;5,2182
CA-2014-115889;2-11-2014;6-11-2014;SC_03;SH-20395;94122;OFF-ST-10003208;362,92;2;0;105,2468
US-2017-161935;14-7-2017;18-7-2017;SC_03;JL-15835;43229;OFF-PA-10000605;9,248;2;0,2;3,3524
US-2017-161935;14-7-2017;18-7-2017;SC_03;JL-15835;43229;TEC-PH-10000560;1889,946;9;0,4;-377,9892
US-2017-161935;14-7-2017;18-7-2017;SC_03;JL-15835;43229;OFF-ST-10003455;62,04;5;0,2;4,653
US-2017-161935;14-7-2017;18-7-2017;SC_03;JL-15835;43229;FUR-FU-10002937;396,92;5;0,2;148,845
US-2017-161935;14-7-2017;18-7-2017;SC_03;JL-15835;43229;OFF-ST-10001837;239,456;7;0,2;17,9592
US-2017-161935;14-7-2017;18-7-2099;SC_03;JL-15835;43226;OFF-AR-10004757;13,12;5;0,2;2,132
US-2017-167920;9-12-2017;12-12-2017;SC_04;JL-15835;40475;OFF-BI-10004236;29,36;2;0;13,5056
US-2017-167920;9-12-2017;12-12-2017;SC_04;JL-15835;40475;OFF-AP-10000159;214,9;5;0;62,321
US-2017-167920;9-12-2017;12-12-2017;SC_04;JL-15835;40475;OFF-BI-10003274;15;92;4;0;7,4824
US-2017-167920;9-12-2017;12-12-2017;SC_04;JL-15835;40475;TEC-AC-10001013;146,45;5;0;48,3285
US-2017-167920;9-12-2017;12-12-2017;SC_04;JL-15835;40475;OFF-ST-10004963;15,14;1;0;0,6056
US-2017-167920;9-12-2017;12-12-2017;SC_04;JL-15835;40475;OFF-LA-1000409;5,76;2;0;2,6496
US-2017-167920;9-12-2017;12-12-2017;SC_04;JL-15835;40475;TEC-CO-10001046;1399,98;2;0;629,991
CA-2016-162383;5-9-2016;11-9-2016;SC_03;MD-17350;43130;OFF-BI-10002824;8,952;2;0,7;-7,46
CA-2016-162383;5-9-2016;11-9-2016;SC_03;MD-17350;43130;OFF-BI-10001757;8,856;6;0,7;-6,4944
CA-2016-162383;5-9-2016;11-9-2016;SC_03;MD-17350;43130;FUR-CH-10004477;85,246;2;0,3;-1,2178
CA-2014-125731;10-9-2014;16-9-2014;SC_03;CL-12565;97030;OFF-EN-10003072;21,728;7;0,2;7,6048
CA-2014-125731;10-9-2014;16-9-2014;SC_03;CL-12565;97030;FUR-CH-10003973;1487,04;5;0,2;148,704
US-2017-106145;26-9-2017;26-9-2017;SC_01;RA-19885;94109;OFF-EN-10001028;71,88;6;0;33,0648
US-2017-106145;26-9-2017;26-9-2017;SC_01;RA-19885;94109;FUR-FU-10003829;9,24;3;0;2,9568
US-2017-106145;26-9-2017;26-9-2017;SC_01;RA-19885;94109;OFF-PA-10002245;35,88;6;0;16,146
US-2017-106145;26-9-2017;26-9-2017;SC_01;RA-19885;94109;OFF-BI-10002215;17,04;3;0,2;5,538
US-2017-106145;26-9-2017;26-9-2017;SC_01;RA-19885;94109;OFF-BI-10003925;931,176;3;0,2;314,2719
CA-2016-107146;17-6-2016;19-6-2016;SC_02;LC-16885;80501;FUR-FU-10002298;266,352;3;0,2;-13,3176
CA-2016-107146;17-6-2016;19-6-2016;SC_02;LC-16885;80501;FUR-CH-10004853;483,136;4;0,2;54,3528
US-2017-134642;25-2-2017;1-3-2017;SC_03;SW-20245;27834;FUR-CH-10002880;196,784;2;0,2;-22,1382
US-2017-134642;25-2-2017;1-3-2017;SC_03;SW-20245;27834;FUR-BO-10004709;231,92;5;0,2;5,798
US-2017-160143;31-3-2017;7-4-2017;SC_03;HG-14965;90004;OFF-SU-10004231;29,7;3;0;8,019
CA-2017-103415;3-12-2017;8-12-2017;SC_03;MV-17485;77041;FUR-FU-10000820;13,592;2;0,6;-14,2716
CA-2016-106460;19-2-2016;22-2-2016;SC_04;GT-14710;94109;OFF-PA-10001736;70,88;2;0;33,3136
US-2017-112347;2-12-2017;6-12-2017;SC_03;BS-11380;80219;OFF-ST-10003306;114,288;1;0,2;12,8574
US-2017-112347;2-12-2017;6-12-2017;SC_03;BS-11380;80219;OFF-BI-10003707;36,624;8;0,7;-24,416
US-2017-112347;2-12-2017;6-12-2017;SC_03;BS-11380;80219;FUR-BO-10003546;242,352;8;0,7;-363,528
US-2017-112347;2-12-2017;6-12-2017;SC_03;BS-11380;80219;TEC-PH-10000213;49,616;2;0,2;4,9616
US-2017-112347;2-12-2017;6-12-2017;SC_03;BS-11380;80219;FUR-FU-10001488;508,704;6;0,2;0
US-2017-112347;2-12-2017;6-12-2017;SC_03;BS-11380;80219;TEC-PH-10004833;57,36;6;0,2;-14,34
US-2017-112347;2-12-2017;6-12-2017;SC_03;BS-11380;80219;FUR-CH-10002335;906,68;5;0,2;68,001
CA-2014-103492;10-10-2014;15-10-2014;SC_03;CM-12715;77340;TEC-PH-10001128;719,952;6;0,2;71,9952
CA-2014-103492;10-10-2014;15-10-2014;SC_03;CM-12715;77340;TEC-PH-10004667;755,944;7;0,2;66,1451
CA-2014-103492;10-10-2014;15-10-2014;SC_03;CM-12715;77340;OFF-BI-10004817;11,98;5;0,8;-19,168
CA-2014-103492;10-10-2014;15-10-2014;SC_03;CM-12715;77340;OFF-BI-10004140;0,898;1;0,8;-1,5715
CA-2016-136595;5-9-2016;7-9-2016;SC_02;EM-13825;77036;FUR-FU-10004671;21,204;3;0,6;-11,6622
;20-11-2014;25-11-2014;SC_03;KH-16330;10024;OFF-EN-10002592;34,74;3;0;17,37
CA-2014-140396;20-11-2014;25-11-2014;SC_03;KH-16330;10024;TEC-PH-10004447;833,94;6;0;216,8244
CA-2014-140396;20-11-2014;25-11-2014;SC_03;KH-16330;10024;OFF-BI-10003669;12,96;3;0,2;4,536
CA-2014-140396;20-11-2014;25-11-2014;SC_03;KH-16330;10024;OFF-PA-10000223;25,92;4;0;12,4416
CA-2014-114181;10-5-2014;14-5-2014;SC_04;AF-10885;19134;FUR-BO-10004467;349,965;7;0,5;-216,9783
CA-2014-114181;10-5-2014;14-5-2014;SC_04;AF-10885;19134;OFF-AR-10000716;22,32;5;0,2;5,301
CA-2017-159506;27-11-2017;2-12-2017;SC_03;JR-16210;47201;OFF-PA-10003641;158,28;6;0;72,8088
CA-2017-159506;27-11-2017;2-12-2017;SC_03;JR-16210;47201;OFF-BI-10004519;497,94;3;0;224,073
US-2014-137155;1-11-2014;5-11-2014;SC_03;DL-12925;11561;OFF-AP-10002518;533,94;3;0;154,8426
US-2014-137155;1-11-2014;5-11-2014;SC_03;DL-12925;11561;OFF-PA-10000806;167,94;3;0;82,2906
US-2014-137155;1-11-2014;5-11-2014;SC_03;DL-12925;11561;FUR-FU-10003142;31,68;6;0;9,8208
CA-2016-105746;30-12-2016;1-1-2017;SC_02;BD-11605;17602;FUR-CH-10000454;170,786;1;0,3;0
US-2016-104815;3-9-2016;7-9-2016;SC_03;RB-19570;60610;FUR-BO-10003894;198,744;4;0,3;0
CA-2017-157672;5-10-2017;7-10-2017;SC_02;RB-19795;80219;TEC-AC-10001714;63,824;2;0,2;13,5626
US-2016-166660;30-1-2016;1-2-2016;SC_04;TB-21250;98103;FUR-CH-10001190;435,168;4;0,2;-59,8356
US-2016-166660;30-1-2016;1-2-2016;SC_04;TB-21250;98103;FUR-BO-10000468;48,58;1;0;7,7728
CA-2017-140802;21-4-2017;23-4-2017;SC_02;KN-16390;77070;TEC-AC-10001998;47,976;3;0,2;8,3958
CA-2017-140802;21-4-2017;23-4-2017;SC_02;KN-16390;77070;OFF-PA-10001534;20,736;4;0,2;7,2576
CA-2014-133830;5-12-2014;10-12-2014;SC_03;RL-19615;90045;OFF-AR-10003045;26,46;9;0;11,907
CA-2014-133830;5-12-2014;10-12-2014;SC_03;RL-19615;90045;OFF-PA-10001363;49,12;4;0;23,0864
CA-2014-133830;5-12-2014;10-12-2014;SC_03;RL-19615;90045;OFF-FA-10002280;15;3;0;7,2
CA-2014-100916;21-10-2014;26-10-2014;SC_03;FH-14275;23602;OFF-ST-10003479;194,7;5;0;9,735
CA-2014-100916;21-10-2014;26-10-2014;SC_03;FH-14275;23602;FUR-TA-10004607;591,32;4;0;112,3508
CA-2014-100916;21-10-2014;26-10-2014;SC_03;FH-14275;23602;OFF-AR-10001022;2,84;1;0;0,8804
CA-2015-129532;8-12-2015;12-12-2015;SC_03;YS-21880;90036;OFF-ST-10004186;221,96;2;0;4,4392
CA-2015-129532;8-12-2015;12-12-2015;SC_03;YS-21880;90036;TEC-AC-10000865;236;4;0;40,12
CA-2014-134726;2-11-2014;7-11-2014;SC_04;SW-20755;98115;TEC-AC-10000023;41,94;2;0;15,0984
CA-2014-134726;2-11-2014;7-11-2014;SC_04;SW-20755;98115;TEC-PH-10001750;52,792;1;0,2;4,6193
CA-2016-138597;18-12-2016;21-12-2016;SC_02;PN-18775;68104;FUR-CH-10004997;563,94;3;0;112,788
CA-2015-123113;23-11-2015;27-11-2015;SC_04;AT-10735;7960;OFF-AP-10000275;2625,12;8;0;735,0336
CA-2015-123113;23-11-2015;27-11-2015;SC_04;AT-10735;7960;OFF-AR-10004999;17,94;3;0;4,485
CA-2015-169656;13-8-2015;16-8-2015;SC_02;EJ-13720;19143;OFF-ST-10003816;422,856;3;0,2;15,8571
CA-2015-142734;16-4-2015;21-4-2015;SC_03;DM-13345;10024;FUR-CH-10003968;127,764;2;0,1;2,8392
CA-2014-163223;21-3-2014;25-3-2014;SC_03;KH-16690;22153;TEC-PH-10000730;3499,93;7;0;909,9818
CA-2014-163223;21-3-2014;25-3-2014;SC_03;KH-16690;22153;OFF-LA-10004409;14,4;5;0;6,624
CA-2014-163223;21-3-2014;25-3-2014;SC_03;KH-16690;22153;OFF-PA-10000675;122,97;3;0;60,2553
CA-2014-163223;21-3-2014;25-3-2014;SC_03;KH-16690;22153;OFF-AR-10001573;9,32;4;0;2,7028
CA-2014-163223;21-3-2014;25-3-2014;SC_03;KH-16690;22153;OFF-BI-10001597;122,94;3;0;59,0112
CA-2017-122945;16-11-2017;22-11-2017;SC_03;MB-18085;95661;FUR-FU-10001196;17,31;3;0;5,193
CA-2015-139738;25-9-2015;29-9-2015;SC_03;DK-12895;61107;OFF-AR-10004602;128,744;7;0,2;12,8744
CA-2016-158778;5-9-2016;9-9-2016;SC_03;DB-13210;19134;FUR-FU-10000260;58,248;9;0,2;11,6496
CA-2016-158778;5-9-2016;9-9-2016;SC_03;DB-13210;19134;FUR-CH-10001146;71,246;2;0,3;-19,3382
CA-2016-158778;5-9-2016;9-9-2016;SC_03;DB-13210;19134;OFF-AR-10000896;7,872;3;0,2;0,5904
CA-2016-158778;5-9-2016;9-9-2016;SC_03;DB-13210;19134;FUR-CH-10000309;887,271;3;0,3;-63,3765
CA-2017-119655;20-4-2017;24-4-2017;SC_03;CV-12295;48234;OFF-BI-10001989;146,86;7;0;70,4928
CA-2017-119655;20-4-2017;24-4-2017;SC_03;CV-12295;48234;OFF-BI-10001036;36,56;4;0;18,28
CA-2015-164567;15-6-2015;19-6-2015;SC_03;GK-14620;90004;TEC-PH-10002103;225,576;3;0,2;22,5576
CA-2014-131947;17-9-2014;22-9-2014;SC_03;JA-15970;97477;OFF-AR-10001473;5,248;2;0,2;0,4592
CA-2014-131947;17-9-2014;22-9-2014;SC_03;JA-15970;97477;OFF-AR-10000411;38,256;3;0,2;4,782
CA-2014-131947;17-9-2014;22-9-2014;SC_03;JA-15970;97477;OFF-PA-10000246;40,24;5;0,2;13,078
CA-2014-131947;17-9-2014;22-9-2014;SC_03;JA-15970;97477;TEC-MA-10004086;29,925;5;0,7;-21,945
CA-2014-131947;17-9-2014;22-9-2014;SC_03;JA-15970;97477;OFF-PA-10003039;148,704;6;0,2;46,47
