Order ID;Order Date;Ship Date;Ship Code;Customer ID;Postal Code;Product ID;Sales;Quantity;Discount;Profit
CA-2019-152156;8-11-2016;11-11-2016;SC_04;CG-12520;42420;FUR-BO-10001798;261,96;2;0;41,9136
CA-2019-152156;8-11-2016;11-11-2016;SC_04;CG-12520;42420;FUR-CH-10000454;262,96;3;0;219,582
CA-2019-138688;12-6-2016;16-6-2016;SC_04;DV-13045;90036;OFF-LA-10000240;263,96;2;0;6,8714
US-2022-108966;11-10-2022;18-10-2022;SC_03;SO-20335;33311;FUR-TA-10000577;264,96;5;0,45;-383,031
US-2022-108966;11-10-2022;18-10-2022;SC_03;SO-20335;33311;OFF-ST-10000760;265,96;2;0,2;2,5164
CA-2030-115812;9-6-2030;14-6-2030;SC_03;BH-11710;90032;FUR-FU-10001487;266,96;7;0;14,1694
CA-2030-115812;9-6-2030;14-6-2030;SC_03;BH-11710;90032;OFF-AR-10002833;267,96;4;0;1,9656
CA-2030-115812;9-6-2030;14-6-2030;SC_03;BH-11710;90032;TEC-PH-10002275;268,96;6;0,2;90,7152
CA-2030-115812;9-6-2030;14-6-2030;SC_03;BH-11710;90032;OFF-BI-10003910;269,96;3;0,2;5,7825
CA-2030-115812;9-6-2030;14-6-2030;SC_03;BH-11710;90032;OFF-AP-10002892;270,96;5;0;34,47
CA-2030-115812;9-6-2030;14-6-2030;SC_03;BH-11710;90032;FUR-TA-10001539;271,96;9;0,2;85,3092
CA-2030-115812;9-6-2030;14-6-2030;SC_03;BH-11710;90032;TEC-PH-10002033;272,96;4;0,2;68,3568
CA-2018-114412;15-4-2018;20-4-2018;SC_03;AA-10480;28027;OFF-PA-10002365;273,96;3;0,2;5,4432
CA-2019-161389;5-12-2016;10-12-2016;SC_03;IM-15070;98103;OFF-BI-10003656;274,96;3;0,2;132,5922
US-2022-118983;22-11-2022;26-11-2022;SC_03;HP-14815;76106;OFF-AP-10002311;275,96;5;0,8;-123,858
US-2022-118983;22-11-2022;26-11-2022;SC_03;HP-14815;76106;OFF-BI-10000756;276,96;3;0,8;-3,816
CA-2030-105893;11-11-2030;18-11-2030;SC_03;PK-19075;53711;OFF-ST-10004186;277,96;6;0;13,3176
CA-2030-167164;13-5-2030;15-5-2030;SC_04;AG-10270;84084;OFF-ST-10000107;278,96;2;0;9,99
CA-2030-143336;27-8-2030;1-9-2030;SC_04;ZD-21925;94109;OFF-AR-10003056;279,96;2;0;2,4824
CA-2030-143336;27-8-2030;1-9-2030;SC_04;ZD-21925;94109;TEC-PH-10001949;280,96;3;0,2;16,011
CA-2030-143336;27-8-2030;1-9-2030;SC_04;ZD-21925;94109;OFF-BI-10002215;281,96;4;0,2;7,384
CA-2019-137330;9-12-2016;13-12-2016;SC_03;KB-16585;68025;OFF-AR-10000246;282,96;7;0;5,0596
CA-2019-137330;9-12-2016;13-12-2016;SC_03;KB-16585;68025;OFF-AP-10001492;283,96;7;0;15,6884
US-2018-156909;16-7-2018;18-7-2018;SC_04;SF-20065;19140;FUR-CH-10002774;284,96;2;0,3;-1,0196
CA-2022-106320;25-9-2022;30-9-2022;SC_03;EB-13870;84057;FUR-TA-10000577;285,96;3;0;240,2649
CA-2019-121755;16-1-2016;20-1-2016;SC_04;EH-13945;90049;OFF-BI-10001634;286,96;2;0,2;4,2224
CA-2019-121755;16-1-2016;20-1-2016;SC_04;EH-13945;90049;TEC-AC-10003027;287,96;3;0;11,7741
US-2022-150630;17-9-2022;21-9-2022;SC_03;TB-21520;19140;FUR-BO-10004834;288,96;7;0,5;-1665,0522
US-2022-150630;17-9-2022;21-9-2022;SC_03;TB-21520;19140;OFF-BI-10000474;289,96;2;0,7;-7,0532
US-2022-150630;17-9-2022;21-9-2022;SC_03;TB-21520;19140;FUR-FU-10004848;290,96;3;0,2;15,525
US-2022-150630;17-9-2022;21-9-2022;SC_03;TB-21520;19140;OFF-EN-10001509;291,96;2;0,2;1,1016
US-2022-150630;17-9-2022;21-9-2022;SC_03;TB-21520;19140;OFF-AR-10004042;292,96;6;0,2;9,7092
